True,Predicted,Correct
111XM,I1XM,False
113EV,1i3EV,False
119bg,119bg,True
11AvS,11AvS,True
11Cbx,11cBX,False
11DXU,1DXU,False
11g54,11g54,True
11kL8,11kL8,True
11rbg,11rbg,True
11rqV,11rqV,True
11XrW,11XrW,True
12Agx,12Agx,True
12cgs,12cgs,True
12E8r,l2E8r,False
12fk4,12fk4,True
12NuE,12NuE,True
1349p,1349p,True
13nGb,13NGb,False
13OVS,13OVS,True
13qTh,13qTh,True
13Wvp,13Wvp,True
147sl,l47sl,False
1483t,1483t,True
14CMy,14CMy,True
14KrL,14KlL,False
14lHl,14IHI,False
14NQv,14NQv,True
14qM9,14qM9,True
14SDF,14SDF,True
14zd6,1zd6,False
158JO,158JO,True
158rY,158rY,True
15dQH,15dOH,False
15Htv,15Htv,True
15l1c,15lic,False
15SyR,15SyR,True
15YcO,I5YcO,False
163ne,163ne,True
163uf,I63uf,False
169KP,169KP,True
16BAl,16BA1,False
16jaG,16jAg,False
16JLI,16JLi,False
16OzU,16OzU,True
16TXj,16TXj,True
16ueL,16ueL,True
16zjD,16zJd,False
175Nb,175Nb,True
1791b,1791b,True
17AdV,17AdV,True
17AgO,17AgO,True
17Gpu,17GPU,False
17Kaa,17kaa,False
17kXU,17kXU,True
17NP1,17NPt,False
17nXC,17nXC,True
17u3r,I7u3r,False
17UFt,17UFt,True
1876i,1876i,True
188A3,188A3,True
18H8h,18H8h,True
18L6K,18L6K,True
18Qir,i8Qir,False
18ttq,18ttq,True
191yW,191VW,False
193LZ,193lz,False
19guT,19gul,False
19pHe,19pHe,True
19Rfn,19Rfn,True
19UWK,19Uwk,False
19vM2,19vM2,True
1a2BM,1a2bM,False
1A5b9,1A5b9,True
1A6HY,1A6Hy,False
1a6QN,la6QN,False
1A8u5,1A8u5,True
1acrt,1acrt,True
1acsB,1acsB,True
1aCtB,1aCtB,True
1adpI,1ADPi,False
1aELL,1aELL,True
1AG88,1AG88,True
1aghB,1aghB,True
1AHAP,1AHAp,False
1AHJZ,1AHUZ,False
1ajaO,1aiaO,False
1AjSZ,1aJsz,False
1AKDC,1AKDC,True
1ApUu,1ApUu,True
1APWG,1ApwG,False
1AqLv,1AqLv,True
1AsjD,1AsjD,True
1AVLO,1AVlO,False
1aXSz,laXSz,False
1bBdK,1BBdK,False
1benr,1BeNR,False
1bHXs,1bHXs,True
1bJAM,1bJAM,True
1BP2V,1BP2V,True
1bxYU,1BXyu,False
1C47m,1C47m,True
1C5dz,1C5dz,True
1CCu2,lCCu2,False
1cipi,1Cipi,False
1cjz6,1cjz6,True
1cKYG,1ckYg,False
1CmaD,1CmaD,True
1cnHX,1crHX,False
1CNyM,lCNyM,False
1CpId,1CpId,True
1cYWl,1CYWl,False
1D3M5,1d3m5,False
1D9Nf,1d9NF,False
1DG1N,1DG1N,True
1DtS1,1DlS1,False
1DxHB,1DxHB,True
1E2dG,1E2dG,True
1E3br,1E3br,True
1e4Hd,1E4hD,False
1e5gJ,1e5gJ,True
1eccG,1eCcg,False
1efUs,1efUs,True
1Ehq3,IEhq3,False
1eIVD,1EIVD,False
1EJZS,1ejZS,False
1Enh9,1Enh9,True
1EQIU,1EQIU,True
1eumR,1eumR,True
1ewzL,1Ewzl,False
1Eynt,1Eynt,True
1EZZb,1EZZb,True
1f8tH,1f8tH,True
1FaXf,1faXf,False
1feTs,1feTs,True
1FHSZ,1FhSZ,False
1fKMa,1fKMa,True
1FnJO,1FnjO,False
1fnRC,1fnRC,True
1fpMk,1fpMk,True
1fqJz,1fqJz,True
1Fxgu,Fxgu,False
1G2AH,1G2AH,True
1g2ul,1g2ul,True
1G3bf,1G3bf,True
1G7e8,1GTe8,False
1G7Q7,jG7Q7,False
1G81n,1G81n,True
1G8rL,1G8fL,False
1GcET,1GcET,True
1geDp,1geDp,True
1gjZM,1gjZM,True
1GQI6,1Gqi6,False
1GuYR,1GuYR,True
1gvwb,1gvwb,True
1Gxbz,1GxbZ,False
1GXWt,1gxWT,False
1GyOh,1GyOh,True
1gzgQ,1gzgQ,True
1h3fe,1h3fe,True
1HK3F,1HK3F,True
1hLWI,1hLWI,True
1hmR2,1hmR2,True
1HUFT,1HUFT,True
1hvZ1,1hvZ1,True
1HYIU,1HYIU,True
1HZ2M,IHZ2M,False
1i21I,1i211,False
1iBkA,I1BkA,False
1icCu,1icCu,True
